2009年3月6日0时33分2秒:    017E30F0
2009年4月3日9时14分17秒:    02DB6C10

2009年4月3日9时14分21秒:    02DAB8A0

2009年4月3日9时14分25秒:    02DAB8A0

2009年4月3日9时14分30秒:    02DAB8A0

2009年4月3日9时14分34秒:    02DAB8A0

2009年4月3日9时15分41秒:    02DAB8A0

2009年4月3日9时15分42秒:    02DAB8A0

2009年4月3日9时15分46秒:    02DAB8A0

2009年4月3日9时15分49秒:    02DAB8A0

2009年4月3日9时15分50秒:    02DAB8A0

2009年4月3日9时15分54秒:    02DB6528

2009年4月3日9时15分58秒:    02DAB8A0

2009年4月3日9时16分1秒:    02D9AA20

2009年4月3日9时16分2秒:    02DB6528

2009年4月3日9时16分6秒:    02DAB8A0

2009年4月3日9时16分10秒:    02DB6528

2009年4月3日9时16分14秒:    02DCA4A8

2009年4月3日9时16分18秒:    02DB6528

2009年4月3日9时17分19秒:    02D9AA20

2009年4月3日9时17分20秒:    02DAB8A0

2009年4月3日9时17分24秒:    02DC6E48

2009年4月3日9时17分26秒:    02DC6DB8

2009年4月3日9时17分27秒:    02DC6E48

2009年4月3日9时17分31秒:    02DC6E48

2009年4月3日9时17分35秒:    02DC6ED8

2009年4月3日9时17分39秒:    02DD2850

2009年4月3日9时17分43秒:    02DC6E48

2009年4月3日13时53分20秒:    02DB1908

2009年4月3日13时53分24秒:    02DB10C8

2009年4月3日13时55分56秒:    02DC6C90

2009年4月3日13时56分0秒:    02DD2940

2009年4月3日14时2分50秒:    02DB7188

2009年4月3日14时2分54秒:    02DD3200

2009年4月3日14时2分59秒:    02DD3240

2009年4月14日8时56分34秒:    02DC83D8

2009年4月14日8时56分38秒:    02E43E08

2009年4月14日8时56分41秒:    02E43E08

2009年4月14日8时56分45秒:    02E43E08

2009年4月14日8时56分49秒:    02DC2F10

2009年4月14日8时56分53秒:    02DC2F10

2009年4月14日8时56分54秒:    02DC4D88

2009年4月14日8时56分58秒:    02DC4D88

2009年4月14日8时57分2秒:    02DC3AD0

2009年4月14日8时57分6秒:    02DC4D88

2009年4月14日8时57分10秒:    02DC3AD0

2009年4月14日9时9分14秒:    02DD7D98

2009年4月14日9时9分18秒:    02DD7D40

2009年4月14日9时9分22秒:    02DD7D40

2009年4月14日9时9分26秒:    02DD7D40

2009年4月14日9时9分30秒:    02DD7D40

2009年4月14日9时13分12秒:    02DD8240

2009年4月14日9时13分13秒:    02DD8240

2009年4月14日9时13分17秒:    02DD8240

2009年4月14日9时13分21秒:    02DD8240

2009年4月14日9时13分25秒:    02DD8240

2009年4月14日9时13分29秒:    02DD8240

2009年4月14日9时14分13秒:    02DD8240

2009年4月14日9时17分35秒:    02DD8240

2009年4月14日9时17分39秒:    02DD8240

2009年4月14日9时17分43秒:    02DD8240

2009年4月14日9时17分47秒:    02DD8240

2009年4月14日9时17分51秒:    02DD8240

2009年4月14日9时28分53秒:    02E41FA8

2009年4月14日9时28分57秒:    02E39F20

2009年4月14日9时29分1秒:    02E41FA8

2009年4月14日9时29分5秒:    02E39F20

2009年4月14日9时30分18秒:    02DBA7E8

2009年4月14日10时8分26秒:    02DBAA60

2009年4月14日10时8分30秒:    02DBA9D0

2009年4月14日10时8分34秒:    02DBA9D0

2009年4月14日10时8分38秒:    02DBA9D0

2009年4月14日10时8分42秒:    02DBA9D0

2009年4月14日10时10分51秒:    02DBAFB8

2009年4月14日10时10分52秒:    02DC3090

2009年4月14日10时11分37秒:    02DBA9D0

2009年4月14日10时11分41秒:    02DBA9D0

2009年4月14日10时11分45秒:    02DBA9D0

2009年4月14日10时11分49秒:    02DBA9D0

2009年4月16日10时11分35秒:    02DDAF48

2009年4月16日10时11分36秒:    02DAAE20

2009年4月16日10时11分39秒:    02DBB190

2009年4月16日10时11分43秒:    02DBC248

2009年4月16日10时11分47秒:    02DAAE20

2009年4月16日10时11分51秒:    02DDAF48

2009年4月16日10时24分22秒:    02E3EEA0

2009年4月16日10时25分11秒:    02DBB0B0

2009年4月16日10时25分15秒:    02DDAA08

2009年4月16日10时25分19秒:    02DBB0B0

2009年4月16日10时25分23秒:    02DDAA08

2009年4月16日10时31分44秒:    02DDAA08

2009年4月16日10时31分48秒:    02DBB0B0

2009年4月16日10时31分52秒:    02DDAA08

2009年4月16日10时31分56秒:    02DBB0B0

2009年4月16日10时32分0秒:    02DDAA08

2009年4月16日11时5分53秒:    02DD8F20

2009年4月16日11时5分54秒:    02DDAA08

2009年4月16日11时5分58秒:    02DDFB98

2009年4月16日11时7分32秒:    02E37370

2009年4月16日11时7分37秒:    02E37370

2009年4月16日11时7分41秒:    02E37370

2009年4月16日11时10分24秒:    02E38D28

2009年4月16日11时10分28秒:    02E38D28

2009年4月16日11时10分32秒:    02E38D28

2009年4月16日11时10分36秒:    02E38D28

2009年4月16日11时10分40秒:    02E38D28

2009年4月16日11时10分57秒:    02E3D728

2009年4月16日11时11分1秒:    02E3D780

2009年4月16日11时11分5秒:    02E3D728

2009年4月16日11时11分9秒:    02E3D728

2009年4月16日11时11分13秒:    02E3D728

2009年4月16日11时34分13秒:    02DDBE40

2009年4月16日11时34分17秒:    02DDBE40

2009年4月16日11时34分21秒:    02DDBE40

2009年4月16日11时34分25秒:    02DDBE40

2009年4月16日11时34分29秒:    02DDBE40

2009年4月16日13时40分8秒:    02DDABF0

2009年4月16日13时40分9秒:    02DDFCF8

2009年4月16日13时40分13秒:    02DDACD8

2009年4月16日13时40分17秒:    02DDFCF8

2009年4月16日13时40分20秒:    02E3AF10

2009年4月16日13时40分24秒:    02DDFCF8

2009年4月16日13时44分43秒:    02E326C0

2009年4月16日14时39分29秒:    0283D670

2009年4月16日14时39分33秒:    0283D670

2009年4月16日14时39分37秒:    0283D670

2009年4月16日14时39分41秒:    0283D670

2009年4月16日14时39分45秒:    0283D670

2009年4月17日9时7分39秒:    02DEFF38

2009年4月17日9时7分40秒:    02DCC280

2009年4月17日9时7分44秒:    02DE5440

2009年4月17日9时7分48秒:    02DEA6F0

2009年4月17日9时7分52秒:    02DEA6F0

2009年4月17日9时7分56秒:    02DEA6F0

2009年4月17日9时43分24秒:    02DD3D70

2009年4月17日9时43分28秒:    02E46230

2009年4月17日9时43分32秒:    02DD3D70

2009年4月17日9时43分36秒:    02E46230

2009年4月17日9时43分40秒:    02DD3D70

2009年4月17日10时37分20秒:    02DE8F20

2009年4月17日10时37分21秒:    02DCBD28

2009年4月17日10时37分25秒:    02DE8378

2009年4月17日10时37分29秒:    02DE8378

2009年4月17日10时37分33秒:    02DE8378

2009年4月17日11时7分29秒:    02DD3DB8

2009年4月17日11时7分30秒:    02E38860

2009年4月17日11时7分34秒:    02E3A230

2009年4月17日11时7分38秒:    02E38860

2009年4月17日11时7分42秒:    02E3A230

2009年4月17日11时7分46秒:    02E38860

2009年4月17日11时20分34秒:    02DEFCF8

2009年4月17日11时20分35秒:    02DEA7D8

2009年4月17日11时20分39秒:    02DEAF00

2009年4月17日11时20分43秒:    02DEAF00

2009年4月17日11时20分47秒:    02DEAF00

2009年4月17日11时20分51秒:    02DEAF00

2009年4月17日13时32分35秒:    02E06F40

2009年4月17日13时32分36秒:    02DF3E28

2009年4月17日13时32分40秒:    02DF3E28

2009年4月17日13时43分52秒:    02E06288

2009年4月17日13时52分21秒:    02E6CD98

2009年4月17日13时52分25秒:    02E10D48

2009年4月17日13时52分29秒:    02E10D48

2009年4月17日13时52分33秒:    02E10D48

2009年4月17日13时52分37秒:    02E10D48

2009年4月17日13时52分38秒:    02DF79C0

2009年4月17日13时52分39秒:    02E10D48

2009年4月17日13时52分43秒:    02DF79C0

2009年4月17日14时7分1秒:    02DF5F08

2009年4月17日14时7分5秒:    02E68408

2009年4月17日14时7分9秒:    02DF5F08

2009年4月17日14时7分13秒:    02E68408

2009年4月17日14时7分17秒:    02DF5F08

2009年4月17日14时7分56秒:    02E68408

2009年4月17日14时7分57秒:    02DF5F08

2009年4月17日14时8分1秒:    02DF5F08

2009年4月17日14时22分1秒:    02DEB550

2009年4月17日14时22分5秒:    02E12EA0

2009年4月17日14时22分43秒:    02DEDC20

2009年4月17日14时22分44秒:    02DEAF98

2009年4月17日14时22分48秒:    02E6B198

2009年4月17日14时22分52秒:    02E6B198

2009年4月17日14时32分54秒:    02E69BF8

2009年4月17日14时32分58秒:    02E69EB8

2009年4月17日14时33分2秒:    02E69EB8

2009年4月17日14时33分6秒:    02E69EB8

2009年4月17日14时34分0秒:    02E6C0F0

2009年4月17日14时57分39秒:    02E6DA08

2009年4月17日14时57分43秒:    02E6D900

2009年4月17日14时57分47秒:    02E6DA08

2009年4月17日14时57分51秒:    02E6D900

2009年4月17日14时57分55秒:    02E6DA08

2009年4月17日15时23分26秒:    02DE6690

2009年4月20日10时11分48秒:    02DFA8F8

2009年4月20日10时11分52秒:    02DFA8F8

2009年4月20日10时11分56秒:    02DFA8F8

2009年4月20日10时12分0秒:    02DFA8F8

2009年4月20日10时12分4秒:    02DFA8F8

2009年4月20日10时21分24秒:    02E1CB88

2009年4月20日10时36分41秒:    02DFDCB8

2009年4月20日11时19分51秒:    02E14028

2009年4月20日11时19分55秒:    02E17160

2009年4月20日11时19分59秒:    02E17160

2009年4月20日11时20分0秒:    02E173B0

2009年4月20日11时20分1秒:    02E173B0

2009年4月20日11时20分6秒:    02E173B0

2009年4月20日11时20分10秒:    02E173B0

2009年4月20日11时20分14秒:    02E173B0

2009年4月20日11时20分18秒:    02E173B0

2009年4月22日13时59分36秒:    02E231F8

2009年4月22日13时59分57秒:    02E230F0

2009年4月22日14时29分45秒:    02E14258

2009年4月22日14时29分45秒:    02E14220

2009年4月22日14时29分48秒:    02E14220

2009年4月22日14时29分51秒:    02E14220

2009年4月22日14时29分54秒:    02E14220

2009年4月22日14时29分57秒:    02E14220

2009年4月22日14时50分41秒:    02E26FA8

2009年4月22日14时50分41秒:    02E036C0

2009年4月22日14时50分44秒:    02E26FA8

2009年4月22日15时44分30秒:    02E09A08

2009年4月22日15时44分33秒:    02E09900

2009年4月22日15时44分36秒:    02E09A08

2009年4月22日15时44分39秒:    02E09900

2009年4月22日15时44分42秒:    02E09A08

2009年4月23日13时46分28秒:    02E15448

2009年4月23日13时46分31秒:    02E03520

2009年4月23日13时46分34秒:    02E7DA50

2009年4月23日13时46分37秒:    02E03520

2009年4月23日13时46分40秒:    02E03520

2009年4月23日14时6分58秒:    02E147E0

2009年4月23日14时6分58秒:    02E1DA00

2009年4月23日14时7分1秒:    02E1DA00

2009年4月23日14时7分4秒:    02E779D0

2009年4月23日14时7分9秒:    02E77FA8

2009年4月23日14时7分12秒:    02E1DA00

2009年4月24日9时36分28秒:    02E7C970

2009年4月24日9时36分49秒:    02E15628

2009年4月24日9时37分6秒:    02E155E8

2009年4月24日9时37分27秒:    02E155E8

2009年4月24日9时37分51秒:    02E155E8

2009年4月24日9时38分15秒:    02E155E8

2009年4月24日9时38分39秒:    02E76D50

2009年4月24日9时39分19秒:    02E79E90

2009年4月24日9时39分28秒:    02E768C0

2009年4月24日9时39分28秒:    02E768C0

2009年4月24日9时40分48秒:    02E04E70

2009年4月24日9时41分47秒:    0275BA98

2009年4月24日9时56分5秒:    02E79CD0

2009年4月24日9时56分13秒:    02E7F498

2009年4月24日9时56分21秒:    02E156C0

2009年4月24日9时58分26秒:    02E156C0

2009年4月24日9时58分42秒:    02E156C0

2009年4月24日9时58分47秒:    02E7F820

2009年4月24日10时8分23秒:    02E15AF8

2009年4月24日10时8分24秒:    02E030F0

2009年4月24日10时8分30秒:    02E15AF8

2009年4月24日10时8分37秒:    02E030F0

2009年4月24日10时8分41秒:    02E15AF8

2009年4月24日10时8分46秒:    02E030F0

2009年4月24日10时32分19秒:    02E18BD8

2009年4月24日10时32分21秒:    02E18BD8

2009年4月24日10时32分25秒:    02E18BD8

2009年4月24日10时32分30秒:    02E18BD8

2009年4月24日10时32分34秒:    02E18BD8

2009年4月24日10时32分39秒:    02E18BD8

2009年4月24日10时47分20秒:    02E16B78

2009年4月24日10时48分10秒:    02E00540

2009年4月24日13时23分32秒:    02E00918

2009年4月24日13时23分33秒:    02E79DF8

2009年4月24日13时23分57秒:    02E00810

2009年4月24日13时24分20秒:    02E00810

2009年4月24日13时24分25秒:    02E00918

2009年4月24日13时24分28秒:    02E00918

2009年4月24日13时24分30秒:    02E00918

2009年4月24日13时24分34秒:    02E155E8

2009年4月24日13时24分38秒:    02E7B4D0

2009年4月24日13时24分43秒:    02E00810

2009年4月24日13时24分47秒:    02E00918

2009年4月24日13时30分28秒:    02E7A0A0

2009年4月24日13时30分29秒:    02E7A0A0

2009年4月24日13时30分40秒:    02E7A0A0

2009年4月24日13时30分47秒:    02E7A0A0

2009年4月24日13时49分52秒:    02E16FD0

2009年4月24日13时50分6秒:    02E85410

2009年4月24日13时50分13秒:    02E85410

2009年4月24日13时50分27秒:    02E85250

2009年4月24日13时50分51秒:    02E85250

2009年4月24日13时51分15秒:    02E85250

2009年4月24日13时51分39秒:    02E85250

2009年4月24日13时52分3秒:    02E85250

2009年4月24日13时56分47秒:    02E81C10

2009年4月24日13时57分9秒:    02E7C4E0

2009年4月24日13时57分32秒:    02E7C4E0

2009年4月24日15时44分45秒:    02E01BD8

2009年4月24日15时48分48秒:    02E08D08

2009年4月24日15时49分12秒:    02E08D08

2009年4月24日15时49分36秒:    02E08D08

2009年4月24日15时50分0秒:    02E08D08

2009年4月24日15时50分24秒:    02E08D08

2009年4月24日15时51分34秒:    02E08D08

2009年4月24日15时51分55秒:    02E08D08

2009年4月24日15时52分19秒:    02E08D08

2009年4月24日15时52分42秒:    02E08D08

2009年4月24日15时53分6秒:    02E08D08

2009年4月24日15时53分30秒:    02E08D08

2009年4月24日15时53分50秒:    02E07E58

2009年4月24日15时54分11秒:    02E07E58

2009年4月24日15时54分35秒:    02E07E58

2009年4月24日15时54分59秒:    02E07E58

2009年4月24日15时55分23秒:    02E07E58

2009年4月24日15时55分47秒:    02E07E58

2009年4月27日14时36分38秒:    02E72608

2009年4月27日14时36分59秒:    02E7A730

2009年4月27日14时37分22秒:    02E80DE8

2009年4月27日14时37分27秒:    02E80DE8

2009年4月27日14时37分30秒:    02E80DE8

2009年4月27日14时37分33秒:    02E80DE8

2009年4月27日14时37分35秒:    02E80DE8

2009年4月27日14时37分38秒:    02E80DE8

2009年4月27日14时37分43秒:    02E80DE8

2009年4月27日14时37分48秒:    02E80DE8

2009年4月27日14时37分51秒:    02E8A0D0

2009年4月27日14时37分54秒:    02E96298

2009年4月27日14时37分56秒:    02E963A8

2009年4月27日14时37分59秒:    02E96548

2009年4月27日14时38分7秒:    02E96548

2009年4月27日14时38分23秒:    02E96548

2009年4月27日14时38分31秒:    02E96548

2009年4月27日14时38分47秒:    02E96548

2009年4月27日14时38分55秒:    02E96548

2009年4月27日14时39分11秒:    02E96548

2009年4月27日14时39分19秒:    02E96548

2009年4月27日14时39分53秒:    02E968F0

2009年4月27日14时39分53秒:    02E96860

2009年4月27日14时40分30秒:    02E96F58

2009年4月27日14时40分30秒:    02E7FAA0

2009年4月27日14时40分52秒:    02E7F4B0

2009年4月27日14时41分1秒:    02E7F4B0

2009年4月27日14时41分3秒:    02E7F4B0

2009年4月27日14时41分16秒:    02E7F4B0

2009年4月27日14时41分22秒:    02E7F4B0

2009年4月27日14时43分14秒:    02E7F520

2009年4月27日14时43分14秒:    02E96A30

2009年4月27日14时43分38秒:    02E7DC98

2009年4月27日14时43分38秒:    02E7DD28

2009年4月27日14时43分40秒:    02E96A70

2009年4月27日14时43分43秒:    02E96A70

2009年4月27日14时43分47秒:    02E96A70

2009年4月27日14时43分50秒:    02E96A70

2009年4月27日14时43分51秒:    02E96A70

2009年4月27日14时44分1秒:    02E96A70

2009年4月27日14时44分9秒:    02E7DC40

2009年4月27日14时44分9秒:    02E7DC40

2009年4月27日14时44分9秒:    02E8E0D0

2009年4月27日14时44分9秒:    02E7DC40

2009年4月27日14时44分11秒:    02E8DF10

2009年4月27日14时44分12秒:    02E7DCD0

